emoji,description
🛅,"left luggage. left luggage. luggage, baggage, locker. Metal device shaped in such a way that when it is inserted into the appropriate lock the lock's mechanism can be rotated"
🛄,"baggage claim. baggage claim. claim, baggage. Movement from one place to another"
🙏🏿,"folded hands: dark skin tone. folded hands: dark skin tone. please, hand, ask, bow, pray, folded, dark skin tone, gesture, thanks. That part of the fore limb below the forearm or wrist in primates (including humans)."
🛃,customs. customs. customs. A document issued by a country to a citizen allowing that person to travel abroad and re-enter the home country
🙏🏾,"folded hands: medium-dark skin tone. folded hands: medium-dark skin tone. please, hand, ask, bow, pray, medium-dark skin tone, folded, gesture, thanks. That part of the fore limb below the forearm or wrist in primates (including humans)."
🛂,"passport control. passport control. passport, control. A document issued by a country to a citizen allowing that person to travel abroad and re-enter the home country"
🙏🏽,"folded hands: medium skin tone. folded hands: medium skin tone. please, hand, ask, bow, pray, folded, medium skin tone, gesture, thanks. That part of the fore limb below the forearm or wrist in primates (including humans)."
💁🏾‍♂️,"man tipping hand: medium-dark skin tone. man tipping hand: medium-dark skin tone. sassy, medium-dark skin tone, tipping hand, man. Sexual maturity is the age or stage when an organism can reproduce."
🛁,bathtub. bathtub. bath. A plumbing fixture that sprays water over you
🙏🏼,"folded hands: medium-light skin tone. folded hands: medium-light skin tone. please, hand, ask, medium-light skin tone, bow, pray, folded, gesture, thanks. That part of the fore limb below the forearm or wrist in primates (including humans)."
🛀,"person taking bath. person taking bath. bathtub, bath. A plumbing fixture that sprays water over you"
🤹🏽‍♂️,"man juggling: medium skin tone. man juggling: medium skin tone. multitask, juggling, medium skin tone, man. Juggling is a physical skill, performed by a juggler, involving the manipulation of objects for recreation, entertainment, art, or sport."
🙏🏻,"folded hands: light skin tone. folded hands: light skin tone. please, hand, ask, light skin tone, bow, pray, folded, gesture, thanks. That part of the fore limb below the forearm or wrist in primates (including humans)."
🤦🏼‍♀️,"woman facepalming: medium-light skin tone. woman facepalming: medium-light skin tone. medium-light skin tone, exasperation, disbelief, woman, facepalm. A woman is a female human."
🚿,shower. shower. water. A plumbing fixture that sprays water over you
🚾,"water closet. water closet. water, lavatory, wc, restroom, closet. A room or building equipped with one or more toilets"
🚽,toilet. toilet. toilet. A room or building equipped with one or more toilets
🤷🏻‍♂️,"man shrugging: light skin tone. man shrugging: light skin tone. light skin tone, indifference, shrug, ignorance, man, doubt. A gesture involving the shoulders"
🚼,"baby symbol. baby symbol. baby, changing. Young child"
🚻,"restroom. restroom. lavatory, wc, restroom. (plural) any group of human beings (men or women or children) collectively"
🚺,"women’s room. women’s room. lavatory, woman, wc, restroom. A woman is a female human."
👇🏿,"backhand index pointing down: dark skin tone. backhand index pointing down: dark skin tone. point, dark skin tone, hand, backhand, index, finger, down. One of the long extremities of the hand, sometimes excluding the thumb."
👇🏾,"backhand index pointing down: medium-dark skin tone. backhand index pointing down: medium-dark skin tone. point, hand, backhand, index, medium-dark skin tone, finger, down. One of the long extremities of the hand, sometimes excluding the thumb."
👇🏽,"backhand index pointing down: medium skin tone. backhand index pointing down: medium skin tone. point, hand, backhand, index, finger, medium skin tone, down. One of the long extremities of the hand, sometimes excluding the thumb."
👇🏼,"backhand index pointing down: medium-light skin tone. backhand index pointing down: medium-light skin tone. point, hand, backhand, index, medium-light skin tone, finger, down. One of the long extremities of the hand, sometimes excluding the thumb."
🙎🏼‍♀️,"woman pouting: medium-light skin tone. woman pouting: medium-light skin tone. pouting, medium-light skin tone, gesture, woman. A woman is a female human."
👇🏻,"backhand index pointing down: light skin tone. backhand index pointing down: light skin tone. point, light skin tone, hand, backhand, index, finger, down. One of the long extremities of the hand, sometimes excluding the thumb."
🚹,"men’s room. men’s room. lavatory, wc, restroom, man. A room or building equipped with one or more toilets"
🚸,"children crossing. children crossing. traffic, crossing, pedestrian, child. Circulation of motor vehicles and people on the road network."
🚷,"no pedestrians. no pedestrians. forbidden, not, prohibited, no, pedestrian. A visible indication."
🚶,"person walking. person walking. walking, walk, hike. A woman is a female human."
🚵,"person mountain biking. person mountain biking. bicycle, cyclist, bike, mountain, bicyclist. Sport is all forms of usually competitive physical activity which, through casual or organised participation, aim to use, maintain or improve physical ability and skills while providing entertainment to participants, and in some cases, spectators."
🚴,"person biking. person biking. bicycle, cyclist, biking. Sport is all forms of usually competitive physical activity which, through casual or organised participation, aim to use, maintain or improve physical ability and skills while providing entertainment to participants, and in some cases, spectators."
🚳,"no bicycles. no bicycles. bicycle, forbidden, bike, not, prohibited, no. A visible indication."
🚲,"bicycle. bicycle. bike. Human-powered, pedal-driven two-wheel vehicle"
🚱,"non-potable water. non-potable water. water, non-potable, non-drinking. Any drinkable liquid; a beverage."
🚰,"potable water. potable water. water, potable, drinking. Water suitable for drinking"
👨‍👨‍👧‍👧,"family: man, man, girl, girl. family: man, man, girl, girl. family, girl, man. Sexual maturity is the age or stage when an organism can reproduce."
👨‍👨‍👧‍👦,"family: man, man, girl, boy. family: man, man, girl, boy. family, boy, girl, man. Sexual maturity is the age or stage when an organism can reproduce."
🚯,"no littering. no littering. forbidden, not, prohibited, litter, no. Food waste or food loss is food that is discarded or cannot be used."
🚮,"litter in bin sign. litter in bin sign. litter bin, litter. A visible indication."
🚭,"no smoking. no smoking. forbidden, not, smoking, prohibited, no. A visible indication."
🚬,cigarette. cigarette. smoking. Tobacco is a plant within the genus Nicotiana of the Solanaceae family.
👨🏼‍🎨,"man artist: medium-light skin tone. man artist: medium-light skin tone. artist, palette, medium-light skin tone, man. A person whose creative work shows sensitivity and imagination"
🚫,"prohibited. prohibited. forbidden, not, entry, no. A visible indication."
🚪,door. door. door. The release of items from inventory.
👨🏼‍⚕️,"man health worker: medium-light skin tone. man health worker: medium-light skin tone. doctor, nurse, medium-light skin tone, healthcare, therapist, man. Someone who practices medicine"
👨🏼‍🎤,"man singer: medium-light skin tone. man singer: medium-light skin tone. entertainer, medium-light skin tone, singer, actor, star, rock, man. Person who sings, is able to sing, or earns a living by singing."
🚩,triangular flag. triangular flag. post. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🚨,"police car light. police car light. revolving, beacon, light, car, police. Condition of heightened watchfulness or preparation for action"
👮‍♀️,"woman police officer. woman police officer. officer, woman, police, cop. Any person in the armed services who holds a position of authority or command"
🚧,construction. construction. barrier. A structure or object that impedes free movement
🚦,"vertical traffic light. vertical traffic light. light, traffic, signal. Lights that control the traffic."
🚥,"horizontal traffic light. horizontal traffic light. light, traffic, signal. Lights that control the traffic."
🚤,speedboat. speedboat. boat. A facility consisting of the means and equipment necessary for the movement of passengers or goods
🚣,"person rowing boat. person rowing boat. rowboat, boat. Sport is all forms of usually competitive physical activity which, through casual or organised participation, aim to use, maintain or improve physical ability and skills while providing entertainment to participants, and in some cases, spectators."
🚢,"ship. ship. passenger, boat. British transatlantic passenger liner"
🚡,"aerial tramway. aerial tramway. tramway, car, cable, gondola, aerial. A facility consisting of the means and equipment necessary for the movement of passengers or goods"
🏌🏻‍♀️,"woman golfing: light skin tone. woman golfing: light skin tone. light skin tone, woman, golf"
🚠,"mountain cableway. mountain cableway. cable, mountain, gondola. A facility consisting of the means and equipment necessary for the movement of passengers or goods"
🛌🏿,"person in bed: dark skin tone. person in bed: dark skin tone. dark skin tone, sleep, hotel. A natural and periodic state of rest during which consciousness of the world is suspended"
